Symptoms,Herbs_ID,Formulation
Dysuria and urinary obstruction,88,The roots of Punarnava(15-20 gram) is taken and decoction is made and consumed in the dose of 30-40 ml twice or thrice a day. This is effective in the conditions like dysuria and urinary obstruction.
Ear ache,40,"2 to 3 drops of juice of the indravalli leaves can be used as a ear drops for ear ache, purulent discharge from ears."
Earache,7,"Prepare the oil with equal quantity of rocksalt, ginger juice, honey and mustard oil. Put 2 drops in the ear is very effective to cure earache."
Earache,11,"Heating the stem in little flame, extracting the juice and using it as ear drops. Instillation of 2-3 drops can be cured earache"
Earache,16,The crushed pods of avartani added with gingerly oil and boiled . The prepared oil is used as ear drops(2 ‒ 3 drops) for pricking pain in ears and other ear ailments
Earache,65,Crush 5 cloves of garlic and heat them in some sesame oil till they turn brown. Put 2 ‒ 3 drops of this oil in the painful ear.
Earache,100,"Warm 10 ml of sesame oil along with a couple of garlic cloves and put 2 ‒ 3 drops luke warm of prepared oil,in the ears. This will soften the wax in the ears, which can then be easily cleaned. This is also beneficial in treating earache."
Earache,108,3 grams of Ajwain seeds with 5 Garlic cloves are boiled in 50 ml of sesame oil until it turns red. Filter the oil and instill 2-3 drops in the ear for earache.
Eczema,6,Leaves of aragavadha fine paste applied over the skin lesions once in a day is effective in curing ring worm infection and eczema
Eczema,8,50 grams of soapnut fresh leaf paste cooked well with 100 ml of sesame oil till the evaporation of moisture. This oil is used to apply over the eczematous lesions
Eczema,16,"External application of the Leaves Paste is effective for various skin ailments like scabies, eczema etc"
Eczema,49,"50 gram total plant paste mixed in 200 ml of sesame oil. This mixture is cooked until, it is free of moisture. This oil apply over the skin lesions especially in eczema. it is also effective in dandruff and seborrhic dermatitis."
Eczema,52,Equal quantity of fresh rhizomes of turmeric and pongamia seeds paste is applied externally to tred the eczema and scabies etc.
Eczema,94,"If any part of the plant breaks then yellow latex flows. The yellow latex possesses antibacterial properties. The yellow latex along with turmeric applied locally to the affected area to treat the skin infections such as eczema, itching, boils and skin ulcers."
Epilepsy,104,Vacha powder 500mg with honey administered internally twice a day is beneficial in epilepsy. During this treatment only milk diet advised for more effectiveness.
Erectile dysfunction,56,"Chop 7 fresh dates mix with 3 teaspoons of ghee add a pinch of dry ginger powder, cardamom powder and few stands of saffron , consume it in early morning. This is an effective remedy in Erectile dysfunction."
Erysipelas (Visarpa),35,Regular application of Fine paste of the gunja leaves over the affected part relieves the burning sensation.
Eye disease,32,"Papaya fruit rich in Vitamin A and Carotene so regular intake of fruit prevents eye disease, age related macular degenerative diseases and promotes vision."
Eye disease,88,Freshly obtained leaves are made into fine paste and applied over closed eyes. This brings cooling effect to the eyes.
Eye disease,91,External application of the sariva root thick paste over the closed eye is effective for burning sensation of the eyes.
Eye diseases,2,"3 gms of Triphala churna (amalaki, haritaki and vibhitaki, along with honey and ghee is used internally in early morning on empty stomach, beneficial for Eye diseases."
Eye fatigue,27,The flowers of dronapushpi are soaked in breast milk and then applied over closed eyes is beneficial in eye fatigue.
Eyecare,74,"Fresh juice of radish green leaves in the dose of 20- 30ml consumed twice daily, before food is considered good for eyes, relieves burning, itching and excess lacrimation and useful in night blindness."
Face pigmentation,32,"The paste prepared from ripened papaya Erandakarkati Carica papaya, Caricaceae Vernacular names fruit pulp with fresh milk is an excellent face pack. It moisturizes the skin and removes the hyper pigmentation of the face."
Face pigmentation,107,"Make a paste with Yashtimadhu (Licorice) powder mixed with few drops of coconut oil, Almond oil and milk. Use this pack on the face and allow it to dry. Rinse the face pack Yashtimadhu Glycyrrhiza glabra, Fabaceae Vernacular names with normal water will help to keep the skin moisturized for dry skin persons."
Fatty liver,55,2- 3gms of Katuki root powder with warm water taken orally twice a day for 3 months to reversal of fatty changes in the liver.
Fatty liver,61,Regular intake of 10gm of fresh aloevera gel twice a day purifies the blood and promotes liver function.
Fever,1,The paste of agastya leaves can be externally applied over the body to subside the fever
Fever,21,The leaf paste of bimbi is applied externally over the body in order to induce perspiration in fever.
Fever,23,10gms of changeri whole plant paste boiled in 100ml of water till it reduced to 25ml. The decoction is taken internally twice daily in case of fever.
Fever,26,Mix 20gms of coriander seeds powder in 100ml of Hot water. Consume this water along with sugar twice daily. It is useful to pecify the fever.
Fever,34,"5gms of Guduchi stems boiled in 100ml of water till it reduced to 1/4th. Intake of this decoction twice a day is an effective remedy for fever. For better results parpataka (Fumaria officinalis), chandana, dry ginger, mustha (Cyperus rotundus )can be used for preparation of this decoction."
Fever,42,The juice of the whole plant of Isvari in the dose of 5-10 ml given thrice a day is useful in fever and diarrhoea etc.
Fever,55,"2 gms of katuki powder boiled in 100ml of water till it reduced to 1/4th. This decoction is beneficial in fever, eosinophilia and cold. Honey or jaggery can be used as adjuvants."
Fever,59,"Powder prepared from equal quantity of kulanjana Licorice, and pippali should be administered 3gms with honey twice daily is highly beneficial in cough, headache, fever and indigestion."
Fever,63,"Equal auautity of Kutaja seed, cumin seeds and fennel seeds made in to Powder. Internal administration of 5gms of this powder along with warm water twice or thrice a day relieves evening rise of temperature."
Fever,76,"The powder prepared from equal quantity of Mustha, Parpata, Dry ginger, Long pepper administered in a dose of 5gms with hot water thrice daily cures fever."
Fever,91,"5gms of sariva root coarse powder boiled in 100ml of water Sariva Hemidesmus indicus, Apocynaceae Vernacular names till it reduced to 25ml. Intake of this decoction twice daily is beneficial for fever and urinary infections. It is also helpful to decrease the body heat during summer."
Fever,102,"Add 3 crushed cloves, 2 cardamoms, 6‒7 basil leaves and 1 tsp of cinnamon to 2 cups of water. Boil and drink this decoction, once or twice a day."
Filarial swelling,5,5gms of aparajita root paste should be given internally twice daily in filariasis to relieve the swelling.
Filarial swelling( Sleepada),15,Regular application of atmagupta root paste externally over the affected region will reduce the swelling.
Filariasis,36,Take 3gms turmeric powder and 3gms jaggery with half cup of Cowʼs urine twice daily internally . It destroys Filarial worms.
Flatulence,39,"Mix 1gm of dry ginger powder, a pinch of Hing, little black salt added in 100ml of warm water or butter mik and consume twice daily."
Flatulence,46,2 grams of Jatiphala (Nutmeg) powder should be given with honey twice or thrice a day before food to treat flatulence etc abdominal disorders.
Flatulence,47,"Administration of the decoction of crushed cumin seeds, black pepper and dry ginger twice a day for several days is beneficid."
Flatulence & Colic,108,3 gms of Ajwain seed powder and 3 gms of dried Ginger powder with a little amount of Black salt are mixed and consume with warm water twice or thrice a day internally.
Food poisonin,41,"In case of food poisoning 2-3 gram of Indravaruni seeds powder is administered twice or thrice in a day. This helps to induce vomiting and hence the probable Indravaruni Citrullus colocynthis, Cucurbitaceae Vernacular names danger is checked. Fishermen use this kind of practice abundantly as they are repeatedly poisoned by poisonous fish intake."
Food poisoning,8,5 seeds are crushed and soaked in 1 litre of water. This water is given to drink in the individuals who are poisoned (internally). This induces vomiting and hence the poisonous effects are reduced.
Food poisoning,38,Equal quantity of harita manjari leaves juice and neem oil is applied over uvula of children. This will induce emesis and eliminate mucus from intestine.
Foot crack,30,Edagaja leaves paste prepared by adding coconut oil or sesame oil applied externally over affected area is very good remedy to heel foot cracks.
Foot ulcers,41,"One fist full of dried seeds of Indravaruni boiled in 500ml of water and till it reduced to 1/4th. This decoction is used to soak the foot for 15-30minutes, in case of foot ulcers and cracks caused during rainy seasons."
Fracture,11,The stem of asthisamharaka is used to bandage the part of fracture.The oil prepared from juice of this plant and gingerly oil (1:4 Plant Juice : Gingerly Oil)is externally applied over fractured part. The dried root powder can be given in dose of 1-3 gm twice daily and this can also be applied externally after mixing with hot water for bone fracture.
Fungal infection,30,External application of the paste of edagaja leaves over the affected areas is very effective in reducing Ringworm infections
Fungal infection,64,One part of the juice of Lajjalu plant is boiled with 4 parts of tila oil. This oil is externally applied over the affected area is useful to treat fungal infections.
Fungal infection,67,Nail caused by Tinea unguium and conditions like Athleteʼs foot can be treated by applying fresh leaf paste over the affected area and bandaged.
Fungal infection,101,Take equal quantity of Basil tulasi leaves and neem leaves paste added with pinch of turmeric. Application of this paste is useful to cure the fungal infection.
Fungal infection (Sidhma),48,Paste of 2 gms of Banana leaf alkali (Burned leave ash) mixed with 2 gms of turmeric powder applied over the affected skin is beneficial in Fungal infection.
Fungal nail,54,Camphorated oil may be used locally to cure fungus-infected toe nails.
Gastriti,107,"5 gms of Yashtimadhu (Licorice) boiled in 100ml of milk and reduced it into 50ml . Internal administration of this milk twice daily relieves peptic ulcer disease, heartburn, as well as gastritis"
Gastritis,34,"5gms of guduchi stem, fistful of nimba leaves, fistful of patola leaves cooked in 100ml of water and reduced it into 1/4th. Internal administration of this decoction along with honey twice daily is useful in gastritis"
Gastritis,37,"Internal administration of 5gms of haritaki powder mixed in hot water and regularly, increases mucus production in Haritaki Terminalia chebula, Combretaceae Vernacular names the stomach forming a protective barrier, preventing heartburn and ulcer."
Gastritis,55,2gms of katuki powder mixed with sugar taken internally after food twice daily is beneficial in acid peptic disorders as it decreases inflammation and potentially heal the ulcer.
Gastritis,61,Consume 20gms of Aloevera gel at night before going to bed for 30 days. It decreases the inflammation and ulcers in the stomach and intestine
Gastritis,72,"10 gram of seeds are soaked in water overnight. Next day morning this is macerated well and is consumed this paste, 30 minutes before food. It relieves the reflux esophagitis and gastritis."
Gastritis,76,The decoction of musta (5gms of mustha cooked in 100ml of water and reduced it into 25 ml) is very effective in peptic ulcer and inflammatory conditions.
General tonic,58,"The dried rhizome is a tonic, and provides immunity and protection against diseases. krishna musli powder 5 gms with milk daily is recommended to promote immunity."
General weakness,57,"10-15 gram of khas khas seeds added to Khaskhasa Papaver somniferum, Papaveraceae Vernacular names 100ml of milk. This is macerated or churned well. According to the need sugar or jaggery can also be added. This gives instant energy and pacifies tiredness."
Generalized weakness,70,20 gram of black gram is cooked with 100 ml of milk and later add sugar and it should be consumed during the evening hours. This serves as an energy drink and it improves the reproductive health in men and women.
Geriatric tiredness,12,"Equal quantity of fine powders of Ashwagandha, Kapikacchu and black sesame seeds are mixed thoroughly. It is administered in a dose of 5 grams, with a cup of warm milk is useful to relieve tiredness, fatigue and geriatric problems such as arthritis."
Gray Hair,41,50 gram of dried seeds paste of Indravaruni cooked in 400 ml of sesame oil until it becomes moisture free. Regular application of this oil over the scalp is found to be effective in preventing premature greying of hair.
Grey hair,2,"External application of the paste of 50gms henna leaves, 50gms amalaki, 10 Hibiscus flowers over the scalp and hairs, keep it for 1hour before taking head bath once or twice a week is beneficial in premature greying hair."
Grey hair,19,"The seed marrow into fine paste 50 gram, 200 ml sesame oil is added and exposure to sunshine for 10-12 days. Later it is Bibhitaka Terminalia belerica, Combretaceae Vernacular names filtered and stored in glass bottle. This oil is applied to the base of the scalp in case of premature graying of hairs"
Haematuria,93,"5 gram powder of shatavari with sugar is taken twice a day after food .This is given to the Satavari Asparagus recemosus, Asparagaceae Vernacular names individuals, suffering from burning urination and bleeding from urethra."
Hair care,17,"25 gram of Bhringaraja paste, 100 ml of sesame or coconut oil and 400 ml Bhringaraja decoction or 200 ml of fresh juice are taken and oil is cooked. This is effective in dandruff, hair fall and premature greying of hair."
Hair conditioner,72,10 gram of methi seeds are soaked in water and kept overnight. Next day morning made into fine paste and is applied to the scalp as hair mask. This is retained for 30-45 minutes and rinsed with water. This acts as a natural conditioner for hair.
Hair fall,9,"Mature green leaves of Arjuna are soaked in water for 2-3 hours and macerated well with hands. It yields a mucilagenous mix. It is used for washing the hairs. It is applied over scalp and Arjuna Terminalia arjuna, Combretaceae Vernacular names washed after 30 minutes. This improves shining and quality of hair"
Hair fall,22,"Brahmi oil massaged on the scalp promotes hair growth and also good for the brain, the nervous system, and also the mind."
Hair fall,45,"The juice of japa petals boiled in coconut oil till the water content of the mixture disappears. Application of this Japa Hibiscus rosa-sinensis, Malvaceae Vernacular names oil on head gives coolness to the entire body and a very effective remedy for hair fall."
Hair fall,61,"Mix aloevera gel and lemon juice, apply this mixture to the hair, leave this for 30-40 minutes and then rinse with water."
Hair fall,72,"50 gram of fenugreek seeds, 150 ml coconut or sesame oil is added and kept in sunshine for 6 days. Then it is filtered and stored. Regular application of this oil acts as a good hair tonic."
Hair fall,79,Coconut oil massage for scalp is good and improves hair growth.
Hair growth,35,"Oil cooked with coarse powder of gunja seeds along with bhringaraja(Eclipta alba), external application over scalp in good for hair growth."
Hair growth,100,"Scalp is massaged regularly with the sesame oil increases the hair growth, prevents dandruff and splitting of the hair."
Hairfall,67,"The paste of henna flowers 3-5 gms twice daily can be administered internally with water to prevent hairfall, itching of scalp and insomnia."
Halitosis,36,Burn turmeric rhyzome and make it into fine powder and use this powder with salt as a tooth powder. This will maintain the gums and teeth in a healthy condition and prevent halitosis.
Head ache,97,If cardamom powder is added to traditional tea or green tea it helps to relieve head ache and stress due to its good aroma. This acts as a mood elevator also.
Head lice,54,10grams of camphor is dissolved in 100 ml of warm coconut oil and allowed to cool. This is applied on the scalp at night. Next day morning wash the hair. It is helpful in destroying the head lice.
Head lice,65,Apply a mixture of garlic paste and lemon juice to the hair roots and then wash the hair after two hours.
Head lice,70,30 gram of black gram seeds are cooked in 100 ml sesame oil for 10-15 min in low flame. Regularly applying this oil over the scalp to cure head lice.
Head lice,80,"Regular Massaging the scalp with Neem oil, removes head lice and prevent dandruff ."
Headache,1,2 -3 drops of agastya leaves juice is used as nasal drops in the morning to cure sinusitis and headache
Headache,23,Fine leaves paste of changeri is applied externally over forehead is useful in headache.
Headache,27,"The oil prepared from dronapushpi flowers should be applied externally in headache, sinusitis etc"
Headache,29,"10 gms of Durva grass powder boiled in 200ml of water till it reduced to ¼ th . Drinking this filtered decoction along with half a teaspoon of sugar or jaggery twice a day relieves headache, debility and lethargy."
Headache,39,"Prepare the paste of 1 part of hingu, 1 part of dry ginger, 1 part of camphor, 2 parts of tailed pepper by adding some milk. External application of this fine paste on the forehead to cure tension headaches as well as migraine."
Headache,42,The paste of Isvari leaves and turmeric is applied on forehead twice daily is beneficial.
Headache,46,The paste of nutmeg (Jatiphala) can be applied thickly over forehead during head ache.
Headache,66,Local application of the fine paste of clove relives head ache.
Headache,75,Internal administration of 10ml of mundi juice with a pinch of black pepper twice daily alleviates hemicrania (a type of headache) with in a week.
Headache,92,Fine paste of red or black mustard seeds is applied over the fore head helps to reduce the vascular headache quite effectively
Headache,94,5gms of satyanashi plant root is boiled in 100ml of water till it reduced to 25ml. This decoction is used along with jaggery in migraine type of headaches.
Headache,98,5gms of sandal wood powder made a paste by adding few tulasi leave juice. Apply on forehead and temples to relieve from headache and reduce the body temperature.
Headache,101,"Installation of the 2 drops of tulasi fresh leaves juice in both nostrils on empty stomach Tulasi Ocimum sanctum, Lamiaceae Vernacular names daily helps to relieve sinusitis related headache."
Headache,104,A pinch of powder prepared from equal quantities of pippali and vacha is blown (Snuff) in each nostrils which induces sneezing and nasal discharge thereby reduce the tension headache.
Heart tonic,9,5gms of arjuna bark powder boiled in 100ml of milk till it reduce to 50ml . Taking orally this Arjuna milk daily at bed time is very useful in heart discases
Heat stroke,73,"Keep handful of Mishreya (Fennel) seeds soaked in 200ml of Hot water overnight. Next morning, strain the solution. Mix a pinch of Black salt and little sugar in it and drink this solution."
Hepatites,55,The paste prepared from katuki and bhumya malaki should be administed 3 gsm twice daily with butter milk is beneficial to cure hepatites.
Hepatomegaly,51,consumption of 10-20ml of leaves juice 2 times a day will increases the liver function as well as decreases enlargement of the liver.
Herpes,8,100ml of Fresh Soapnut juice in 200ml of ghee is cooked well till complete evaporation of water content. This ghee is applied over the lesions of herpes and chronic itch.
Hiccup,16,"4 ‒ 6 grams of avartani pod powder with honey 2 times a day is useful in cases of hiccup, fever etc"
Hiccup,89,5 Mature fruits pulp of anjeer is added in 100ml of milk and blend in a mixer grinder to prepare milk shake (by adding little sugar or jaggery). This thick milk juice orally taken once in a day is beneficial relieve hiccup.
Hiccup,97,20 Dried cardamom pod and one matured banana leaf are taken together and burnt into ashes. This is taken in the dose of 2-3 gram along with honey and licked frequently. This helps to reduce the hiccup and gastric irritation.
High Cholestero,65,"Garlic is a powerful anti-coagulant food. It prevents blood clotting. It also prevents and treats atherosclerosis. Garlic will help in thin the blood, thereby reducing formation of blood clots within the arteries. Take 7 raw cloves of garlic every morning on empty stomach. This reduces the high Lashuna Allium sativum, Liliaceae Vernacular names cholesterol level thus preventing heart diseases."
High Cholesterol,55,"Equal quantity of Katuki and Haridra powders Katuka Picrorhiza kurroa, scrophulariaceae Vernacular names are mixed well and taking orally 3gms with warm water twice daily is found to be effective in treating hyperlipidemia."
High Cholesterol,82,Take half a cup of raw onion juice mixed with one teaspoonful of honey and ginger juice; this reduces the bad cholesterol levels in the blood.
High Cholesterol,106,"Almonds are highly nutritious nuts and contain monounsaturated fat, which is known to reduce cholesterol markedly reverse the altered lipid levels to normal range."
Hoarseness of the voice,87,"10-20 ml of Pippali decoction is administered twice or thrice daily in case of indigestion, poor appetite, cold, hoarseness of the voice, rhinitis etc."
Hoarseness of voice,44,"To maintain good voice and relieve from hoarseness, boil the Jamun Jambu Syzygium cuminii, Myrtaceae Vernacular names seeds and gargle with that water frequently."
Hyper pigmentaion,58,External application of the paste of krishna musli root with Goatʼs milk is useful to cure hyper pigmentaion.
Hyper pigmentatio,50,"Fine paste of lotus flower should be applied on the face once daily. This enhances the complexion and luster of the face, relieves the black spots and freckles."
Hyper Pigmentation,13,"Early morning fresh latex of Asvattha is collected and is applied over the skin lesions. Asvattha Ficus religiosa, Moraceae Vernacular names This relieves hyper pigmentation as well as discoloration of the face."
Hyperemesis gravidarum,23,"External application of chutney prepared from the changeri leaves, ground coconut, salt and lemon juice can give relief this condition."
Hypertention,50,Venthamarai poo choornam a Siddha Medicine is very effective for Management of Hypertension and given in the dose of 2‒ 3 grams with milk before food twice a day.
Hypothermia,59,Kulanjana powder is rubbed all over the body to increase the peripheral circulation in order to increase the body temperature.
Immunity (low),34,20ml of Guduchi juice is recommended daily in the case of AIDS. Research work on this plant has proved that it increases the immunity and defense mechanism against the retro virus and increases the lifespan of the patient
Increase appetite,69,Intake of 1 tablespoonful of Jaggery mixed with 3gms of black pepper everyday before food is useful to increase the appetite.
Increase sperm count,25,Drink 1 glass of pomegranate juice daily to increase the sperm count and motility .
Indigestion,11,"Equal quantity of asthisamharaka leaves, dry ginger, black pepper are made into fine powder and mixed together. 5gms of this powder should be given along with warm water twice daily before food to treat indigestion"
Indigestion,24,2gms of Chitramoola with 2 gms of dry ginger should be taken twice daily with butter milk in case of indigestion.
Indigestion,26,"Equal quantity of Coriander seeds, Black pepper, Cumin powder and rock Salt (as per taste) powders are mixed well. This can consume along with rice helps in stimulating appetite and easy digestion."
Indigestion,39,"Take 5gms of powder prepared from equal quantity of dried ginger, long pepper, curry leaves, ajwain, black pepper, Cumin and Asafoetida(Heeng) with a little ghee and salt and taken with the first bolus of food is useful in indigestion and flatulance etc."
Indigestion,46,"The powder prepared from equal quantity of Jatiphala shunthi and jirika, administered in a dos of 5 gms before food twice daily is highly beneficial in indigestion, flatulence and abdominal discomfort."
Indigestion,48,It is good to eat food in Plantain leaf as it helps to treat Indigestion and body heat.
Indigestion,59,"For all sorts of digestive and respiratory ailments in infants and children, this rhizome of kulanjan is baked or heated and given 1 gm dose with honey and breast milk twice daily."
Indigestion,63,"Kutaj flower soup (500mg kutaja flower powder in one cup of water & add little Kutaja Holarrhena antidysenterica, Apocynaceae Vernacular names salt, ghee, pinch of pepper boiled in low flame & made a soup) is a good appetizer in post fever, diarrhea and dyspepsia."
Indigestion,69,"Mix equal quantities of black pepper, dry ginger, rock salt powders. Add 3gms of this mixture to a glass of buttermilk and consume it regularly to cure indigestion."
Indigestion,72,"5-10gms Fenugreek seeds are fried a little and cooked well with milk (by adding little sugar, if necessary). This gives good strength to the intestines and improves the digestion."
Indigestion,73,Equal quantity of Mishreya (Fennel) seeds and cardamom are made into fine powder. Take 3gms of this mixture along with luke warm water after meals.
Indigestion,88,"20-30 ml of fresh juice is obtained from the whole plant of Punarnava with pinch of black salt is taken internally. This is effective in abdominal distention, acid belching and burping."
Indigestion,97,"Cardamom, rock salt and dry ginger(Shunti) are taken in equal amount and made into fine powder. This is consumed in the dose of 3 grams twice or thrice Sukshmaila Elettaria cardamomum, Zingiberaceae Vernacular names a day along with warm water. This is useful in indigestion, abdominal bloating and food poisoning."
Indigestion,99,3gms of of crushed anise seeds in the cup of boiling water boil it for Ten minutes. Drink the tea after having a huge meal. It helps the digestion of the food and relieves flatulence.
Indigestion,103,"3 grams of bay leaves powder, a piece of ginger are boiled in 200 ml of water till ¼ water remains. Consume this decoction with honey twice a day. It also acts as an appetite Tvakpatra Cinnamomum tamala, Lauraceae Vernacular names stimulant and beneficial in indigestion."
Insect and wasp bite,52,The fresh leaf juice is applied over the lesions of wasp bite or insect bite frequently .This reduces the swelling and pain instantly.
Insect and wasp bites,90,Fine paste of the leaves applied over the bite area of the insects and wasps to reduce the irritation and swelling.
Insect bites,86,Karpooravalli can be used for bee stings and insect bites. Crush the leaves and apply on the affected area of the skin.
Insect Repellent,103,Bay leaves are a great insect repellent as they contain lauric acid. Topical application of the paste made from leaves powder and little coconut oil relieves stings and bites when applied topically
Insects bite,42,Isvari leaves paste applied or rubbed well over the bitten area. Also 10-20 ml of leaf juice is given with pepper powder internally for 6-7 times daily for insects bite and also in poisonous bites of snakes. The leaf juice is the best medicine for all sort of toxic bites.
Insomnia,12,5gms of Ashwagandha root powder mixed in a cup of milk with sugar bed time regularly is beneficial in case of insomnia.
Insomnia,22,Take 3 gm of Brahmi powder with 100ml of cowʼs milk at bed time. It cures sleeplessness.
Insomnia,45,"The petals of the flowers of japa one part and six parts of water is mixed and heated on little flame and reduced to 1/4th part. Then jaggery is added to it and prepared into syrup. This is given in the dose of 10 ml for urinary diseases, Insomnia and psychiatric ailments."
Insomnia,46,2 gram of Jatiphala powder can be given with milk at bed time in case of insomnia.
Insomnia,57,"Khas khas kheer prepared by cooking with coconut milk, sugar/jaggery and little amount of Rava/wheat pieces is very effective in cases like insomnia, head ache etc."
Insomnia,102,Add 1/2 teaspoonful of cinnamon powder and 1 teaspoonful of honey to 1 cup of warm milk. Drink before going to bed.
Insomnia,107,Consume 5gms of Yashtimadhu (licorice) root powder in 100 ml of warm milk daily night before going to bed for 30 days is good for insomnia.
Intermittent fever,47,"Intake of 3gms of Krishna jeera, 1gm of Marica( Black pepper) with equal jaggery twice daily is useful in Vishama jwara."
Intermittent fever (Vishama jwara),101,Admnistration of 10 ml Krishna tulasi leaf juice mixed with 2 gm Maricha (Pepper) powder thrice a day is beneficial.
Intestinal worms,20,5 grams of dried and powdered pulp of the bilva fruit with butter milk should be administered twice a day for one week for elimination of intestinal worms
Intestinal worms,25,Eat 150 gms of pomegranate seeds on an empty stomach every morning.
Intestinal worms,27,"In children, 5-10 ml juice extracted from the flowers of dronapushpi and the paste of dronapushpi leaves are given internally 1-2gms once a day for 10-15 days"
Intestinal worms,49,"3gms of the leaves paste of kalamegha consumed early morning on empty stomach for a week, is very beneficial in intestinal worms especially in pin worms. it is also Kalamegha Andrographis paniculata, Acanthaceae Vernacular names found to be effective in recurrent spasmodic pains and menstrual pain."
Intestinal worms,53,The fresh juice of the fruit is given in a dose of 20ml early morning on empty stomach for 3-5 days to treat intestinal worms.
Intestinal worms,60,Decoction of horse gram seeds advised internally to relieve intestinal worms and also treat the piles by relieving the constipation.
Intestinal worms,63,"Take 3gms kutaja bark and 3 gms beal leave boiled in 100 ml of water reduced into 1/4th made a decoction. Taking this decoction twice daily pacifies intestinal worms, ulcerative colitis and simple abdomen colic too."
Intestinal worms,83,"1-2 gram for children and 4-5 grams for adults of Palash Seed powder along with warm water. This helps to check the repeated episodes of Palasha Butea monosperma, Fabaceae Vernacular names intestinal worms."
Intestinal worms,87,"Pippali, cumin, black pepper and Vidanga(Embelia ribes) are taken in equal quantity and fine powder is made. This is administered in the dose of 3-5 gram twice or thrice a day. This is very effective against intestinal worms and colic pain."
Intrinsic Hemorrhage,25,Two teaspoonful of dadima flowers mixed with goatʼs milk and sugar twice daily is beneficial.
Irregular menstruation,11,15-20ml of asthisamharaka stem and leaves juice along with honey twice daily for 3 months is beneficial for irregular menstruation.
Irregular menstruation,90,6 to 8 fresh leaves of the plant are boiled in 200ml of water till it reduced to ¼ th . This is taken regularly for three consecutive menstrual cycles twice daily. This controls the heavy menstrual flow and regularizes scanty flow too.
Irregular periods,10,"Equal quantity of Ashoka, Yashtimadhu, Lajjalu powders are taken. 10gms of this mixure boiled in 200ml of water till it reduced to ¼ th . This filtered decoction consumed 3-5 days prior to the date of periods and continued till 10 days after periods twice daily."
Irregular periods,61,Consume 20 gm of fresh aloevera gel with 3gms of pepper powder twice daily for 3 months corrects the anaemia and irregular periods.
Irritable bowel syndrome,56,"50ml fermented Juice of Grapes, Sugarcane and Dates twice daily is beneficial."
Itching rashes (Skin Allergy),101,External application of Tulasi leaf paste over the affected skin is useful.
Jaundice,6,"A fist full of tender leaf buds yellow coloured flowers of aragavadha are taken and soup is made by adding salt, jaggery and pepper. This soup is not only whole some diet and also cures jaundice."
Jaundice,18,"The juice of whole plant of bhumyamlaki is given in the dose of 10-20ml three times daily. It cures inflammation of the liver. The extract of the whole plant is used to cure Hepatitis A, Hepatitis B, and Hepatitis C"
Jaundice,20,Administration of 3gms of black pepper in a 15ml of bilva leaves juice followed by butter milk twice or thrice a day in beneficial in Jaundice.
Jaundice,31,"Fine paste of 5gms Tender leaves of eranda is administered orally early in the morning in empty stomach , helps to cure jaundice"
Jaundice,33,"5gms of whole gokshura plant powder, 2gms of cinnamom, 6 cardamom and 2tsp of misri powders are taken internally along with luke warm water three times a day is useful in jaundice."
Jaundice,34,"Adminstration of 10 gms of paste of guduchi leaves with butter milk twice daily for one week, relieve the jaundice"
Jaundice,36,Mix 1 teaspoonful of turmeric powder with 1 glass of warm water 3 times a day for 2 weeks or until you see the positive results.
Jaundice,58,5gms of krishna musli root powder is given with water twice daily for a week
Jaundice,60,Kanji (gruel) of horse gram seeds with jaggery is a remedy for jaundice.
Jaundice,61,20gm fresh aloevera gel with lukewarm water on empty stomach early morning is very effective for Jaundice.
Jaundice,67,5 grams of henna plant boiled in 100ml of water and reduced to 1/4th . This decoction taken daily to treat jaundice.
Jaundice,84,The bark decoction of parisha (5 gms of bark cooked in 100ml of water and reduced it into 25ml) is given internally twice a day for ascites and Jaundice.
Jaundice,105,"5ml of vasa leaves juice and 5 ml honey should be given three times daily in cases of cough, fever, bronchial asthma and jaundice."
Joint pain,99,Star anise essential oil applied topically is an excellent remedy for rheumatism and back pain.
Joint pains,11,Asthisamharaka stem is fried in ghee and administered in dose of 10-15 gms with milk for the treatment of fractures and also osteo arthritis
Joint Pains,31,Mature leaves paste mixed with little crystal salt and warmed. This luke warm paste is applied over the muscular swelling and joint pains. This pacifies the swelling and reduces the pain.
Joint pains,35,"Equal quantity of Gunja Abrus precatorius, Fabaceae Vernacular names Nirgundi leaves, Eranda leaves, Gunja seeds luke warm paste poultice applied externally to relieve joint pains, swelling, sciatica pain and cervical spondylosis etc"
Joint pains,42,"The whole plant Isvari Aristolochia indica, Aristolochiaceae Vernacular names paste of Isvari, mildly heated with castor oil and applied locally is beneficial in joint pains."
Joint pains,44,External application warm paste prepared from jamun bark powder mixed with sufficient water by rubbing followed by heating is useful to relieve the joint pains.
Joint Pains,54,Warm sesame oil with camphor and massaging the body with this oil just before a Hot water bath will give relief to the aching body. Camphor is actually a rubefacient as well as energizes the dilation of capillaries.
Joint pains,59,"Paste of kulanjana leaves slightly heated in castor oil and applied externally over the inflamed joints, relieves the muscle spasm and pains."
Joint Pains,60,"The paste of Kulattha seeds is used for fomentation to relieve localized swelling. The seeds stimulate and increase sweating, thus opening the sweat pores of the body to push out the toxins from the body."
Joint pains,66,Application of a few drops of clove oil combined with mustard oil is beneficial in joint pain as well as muscular cramps.
